,ID,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default.payment.next.month
15853,15854,60000.0,2,2,2,27,3.0,2.0,2.0,2.0,4.0,3.0,56670.0,57252.0,55764.0,64522.0,62945.0,61700.0,2100.0,0.0,9700.0,0.0,0.0,0.0,1.0
19252,19253,280000.0,2,1,2,30,0.0,0.0,0.0,0.0,0.0,0.0,36269.0,39229.0,48190.0,48758.0,49219.0,58412.0,10300.0,10018.0,10026.0,5000.0,10000.0,2401.0,0.0
7819,7820,50000.0,1,2,2,28,0.0,0.0,0.0,0.0,0.0,0.0,49417.0,48104.0,49348.0,28433.0,53718.0,27084.0,1966.0,2210.0,1946.0,983.0,1950.0,946.0,0.0
3403,3404,180000.0,2,3,2,24,1.0,-1.0,-1.0,-1.0,-2.0,-1.0,0.0,35300.0,1000.0,0.0,0.0,1245.0,35300.0,1000.0,0.0,0.0,1245.0,0.0,0.0
26977,26978,260000.0,1,1,1,38,0.0,0.0,0.0,0.0,0.0,0.0,162820.0,153457.0,143580.0,133477.0,122545.0,120772.0,6024.0,6012.0,6000.0,5000.0,5000.0,4000.0,0.0
1300,1301,60000.0,1,3,2,36,3.0,2.0,0.0,0.0,0.0,0.0,56807.0,55339.0,55751.0,37851.0,34195.0,33499.0,0.0,2141.0,2000.0,2000.0,2000.0,2000.0,0.0
14289,14290,500000.0,2,2,1,37,0.0,0.0,0.0,0.0,0.0,0.0,207205.0,208827.0,203696.0,201655.0,202938.0,202136.0,9755.0,7414.0,6940.0,7299.0,8021.0,19384.0,0.0
19129,19130,60000.0,2,3,1,44,1.0,2.0,0.0,0.0,0.0,0.0,39466.0,32202.0,29503.0,29538.0,29971.0,29798.0,0.0,1802.0,1737.0,1170.0,1189.0,1230.0,0.0
7041,7042,50000.0,1,2,1,51,0.0,0.0,0.0,0.0,0.0,0.0,31281.0,30832.0,20497.0,19465.0,18474.0,20096.0,2556.0,1582.0,811.0,700.0,2318.0,1101.0,0.0
3619,3620,350000.0,2,1,1,33,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,16414.0,693.0,693.0,1144.0,-4618.0,-8026.0,693.0,0.0,1144.0,4279.0,0.0,0.0,1.0
28924,28925,100000.0,2,3,1,43,2.0,2.0,0.0,0.0,0.0,0.0,100792.0,91738.0,88883.0,90710.0,92471.0,79318.0,0.0,4107.0,4204.0,4200.0,3071.0,3106.0,0.0
6214,6215,510000.0,2,1,1,35,0.0,0.0,0.0,0.0,0.0,0.0,62382.0,55076.0,113654.0,104449.0,95937.0,96634.0,5000.0,70000.0,3500.0,4000.0,3500.0,5000.0,0.0
15989,15990,80000.0,2,3,1,28,0.0,0.0,0.0,0.0,0.0,0.0,72561.0,62691.0,61652.0,54602.0,50011.0,49701.0,2300.0,2809.0,2104.0,1708.0,1768.0,1807.0,0.0
19448,19449,100000.0,2,1,2,29,0.0,0.0,0.0,0.0,0.0,2.0,92929.0,95471.0,98569.0,48695.0,54444.0,4948.0,5000.0,5000.0,1251.0,6000.0,0.0,1500.0,0.0
26250,26251,210000.0,2,1,0,31,-1.0,-1.0,-1.0,0.0,0.0,0.0,1332.0,3825.0,33515.0,78075.0,109374.0,108869.0,3848.0,33515.0,48075.0,39374.0,1000.0,1357.0,0.0
17256,17257,20000.0,2,3,1,43,2.0,0.0,0.0,0.0,0.0,0.0,18310.0,18739.0,19411.0,20209.0,19880.0,4341.0,1300.0,1500.0,1257.0,456.0,149.0,191.0,1.0
14366,14367,130000.0,1,3,1,56,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,582.0,0.0,582.0,291.0,441.0,441.0,0.0,582.0,0.0,441.0,441.0,291.0,1.0
28837,28838,340000.0,2,1,1,46,0.0,0.0,0.0,0.0,0.0,0.0,94915.0,92955.0,89689.0,81996.0,83439.0,71239.0,3224.0,4000.0,3504.0,4349.0,3000.0,3098.0,0.0
10023,10024,50000.0,2,2,1,39,3.0,2.0,2.0,-2.0,-2.0,-2.0,5171.0,4925.0,-350.0,-350.0,-350.0,-350.0,0.0,350.0,0.0,0.0,0.0,0.0,0.0
16102,16103,200000.0,2,5,1,33,0.0,0.0,0.0,0.0,0.0,0.0,92707.0,73970.0,122304.0,116674.0,89694.0,68256.0,3112.0,50000.0,6760.0,3486.0,2476.0,2500.0,0.0
28135,28136,200000.0,2,3,1,42,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2213.0,5283.0,1863.0,9323.0,1612.0,1619.0,5286.0,1863.0,9323.0,1612.0,2054.0,5808.0,0.0
9267,9268,50000.0,1,1,2,33,0.0,0.0,0.0,0.0,0.0,0.0,21171.0,22698.0,14125.0,18025.0,9063.0,10747.0,2028.0,2000.0,4000.0,2000.0,2000.0,2000.0,0.0
16540,16541,30000.0,1,2,2,27,1.0,2.0,0.0,0.0,2.0,2.0,22284.0,21637.0,22981.0,24996.0,24309.0,26980.0,0.0,1682.0,2697.0,0.0,3219.0,0.0,0.0
25116,25117,150000.0,1,1,1,54,-2.0,-1.0,-1.0,-2.0,-2.0,-2.0,4015.0,499.0,-948.0,-1580.0,316.0,316.0,501.0,632.0,0.0,1896.0,316.0,782.0,1.0
8377,8378,100000.0,2,3,1,53,1.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
16918,16919,320000.0,1,1,1,51,0.0,0.0,0.0,0.0,0.0,0.0,483184.0,290784.0,277482.0,282869.0,253903.0,249866.0,20373.0,13000.0,11160.0,8418.0,8325.0,8602.0,0.0
6321,6322,450000.0,2,2,1,38,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,10972.0,15005.0,13887.0,17255.0,17515.0,0.0,15008.0,1200.0,5255.0,4566.0,0.0,3648.0,0.0
18470,18471,70000.0,2,1,2,25,0.0,0.0,0.0,0.0,0.0,0.0,64822.0,61851.0,62007.0,38391.0,38996.0,39819.0,2502.0,2075.0,2000.0,1541.0,1600.0,2000.0,0.0
3787,3788,200000.0,2,1,1,37,1.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18283,18284,190000.0,1,1,1,54,0.0,0.0,0.0,0.0,0.0,0.0,205824.0,201269.0,197129.0,192803.0,161324.0,156576.0,7154.0,7385.0,7520.0,5593.0,6000.0,5516.0,0.0
1279,1280,400000.0,2,2,2,30,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-200.0,-200.0,-200.0,746.0,3956.0,2500.0,0.0,0.0,946.0,3956.0,2500.0,0.0,0.0
1957,1958,100000.0,2,2,2,37,0.0,0.0,0.0,0.0,0.0,0.0,107669.0,107529.0,73323.0,51125.0,46879.0,45538.0,3536.0,2821.0,3963.0,3147.0,2670.0,725.0,0.0
23330,23331,170000.0,2,2,2,36,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,2848.0,1941.0,0.0,0.0,0.0,0.0,1941.0,0.0,0.0,0.0,0.0,0.0,0.0
9121,9122,60000.0,1,2,2,30,0.0,0.0,0.0,0.0,0.0,0.0,39264.0,41622.0,42627.0,43914.0,45053.0,46303.0,3000.0,2000.0,2000.0,2000.0,2000.0,2000.0,0.0
3478,3479,500000.0,2,1,2,36,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,10935.0,4079.0,3943.0,3338.0,1224.0,31022.0,4081.0,4283.0,3338.0,1224.0,31022.0,1088.0,0.0
324,325,360000.0,2,2,2,32,0.0,0.0,0.0,0.0,0.0,0.0,93029.0,94054.0,91834.0,95631.0,,,,,,,,,
26768,26769,80000.0,1,2,2,25,0.0,0.0,0.0,-1.0,0.0,0.0,8852.0,1946.0,1473.0,48029.0,47525.0,47181.0,1000.0,1000.0,48029.0,2000.0,2000.0,2000.0,1.0
24966,24967,160000.0,1,1,2,37,2.0,2.0,2.0,2.0,0.0,0.0,63043.0,67460.0,68554.0,66841.0,74763.0,87692.0,6079.0,3064.0,0.0,10000.0,15000.0,0.0,1.0
16438,16439,140000.0,2,2,1,49,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,8280.0,3147.0,2421.0,5021.0,2646.0,6117.0,3147.0,2000.0,5021.0,2646.0,5541.0,0.0,1.0
18635,18636,80000.0,2,2,2,25,0.0,0.0,0.0,0.0,0.0,0.0,83931.0,82122.0,81028.0,81331.0,60614.0,63153.0,3500.0,3820.0,3220.0,4010.0,6700.0,7.0,0.0
25009,25010,500000.0,1,2,1,45,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,102690.0,15518.0,18909.0,31449.0,8253.0,25707.0,15599.0,19001.0,31603.0,8289.0,25832.0,2357.0,0.0
8510,8511,130000.0,2,2,2,33,0.0,0.0,0.0,0.0,0.0,0.0,79579.0,70067.0,63951.0,57467.0,51614.0,46071.0,2702.0,2207.0,2000.0,1717.0,1770.0,1245.0,0.0
375,376,30000.0,1,3,1,58,0.0,0.0,0.0,0.0,0.0,0.0,19143.0,20168.0,21229.0,21495.0,21800.0,22437.0,1640.0,1700.0,915.0,800.0,1000.0,1961.0,0.0
16345,16346,190000.0,2,4,2,39,0.0,0.0,0.0,0.0,0.0,0.0,109023.0,99265.0,78430.0,77653.0,78395.0,70849.0,4000.0,3507.0,3003.0,3003.0,3510.0,3500.0,0.0
26939,26940,410000.0,1,1,2,28,0.0,0.0,0.0,0.0,0.0,0.0,82735.0,90847.0,74122.0,72363.0,68703.0,66710.0,10000.0,6000.0,4000.0,5000.0,6000.0,3000.0,0.0
18776,18777,220000.0,2,1,2,27,0.0,0.0,0.0,0.0,0.0,0.0,67028.0,32546.0,29814.0,31488.0,8495.0,10170.0,5332.0,5000.0,10238.0,5000.0,5000.0,2000.0,0.0
22759,22760,460000.0,2,1,1,40,3.0,2.0,2.0,3.0,3.0,3.0,2650.0,2650.0,2650.0,2650.0,2650.0,2650.0,0.0,0.0,0.0,0.0,0.0,200.0,1.0
4554,4555,160000.0,1,1,2,48,-1.0,2.0,2.0,-2.0,-2.0,-2.0,23037.0,22260.0,0.0,0.0,,,,,,,,,
12639,12640,500000.0,1,1,1,41,0.0,0.0,0.0,0.0,0.0,0.0,505128.0,500867.0,489856.0,356583.0,289398.0,274590.0,19295.0,18694.0,12271.0,9699.0,9420.0,8818.0,0.0
9387,9388,150000.0,2,2,1,35,0.0,0.0,0.0,0.0,2.0,0.0,39883.0,41045.0,41701.0,40699.0,25218.0,9340.0,1806.0,1462.0,2000.0,0.0,2000.0,44.0,0.0
14144,14145,500000.0,2,1,2,28,2.0,0.0,0.0,2.0,0.0,0.0,98541.0,102052.0,111690.0,78070.0,78376.0,80912.0,6000.0,13151.0,0.0,3000.0,5000.0,10000.0,1.0
14508,14509,230000.0,2,3,2,26,0.0,0.0,0.0,0.0,0.0,0.0,14361.0,15491.0,16190.0,11849.0,11826.0,6248.0,1369.0,1068.0,306.0,457.0,348.0,500.0,0.0
335,336,190000.0,2,1,2,28,0.0,0.0,0.0,0.0,0.0,0.0,143464.0,146943.0,151905.0,153538.0,156664.0,160361.0,5795.0,7408.0,5645.0,5753.0,6370.0,5865.0,0.0
4571,4572,120000.0,2,2,1,40,0.0,0.0,0.0,0.0,0.0,0.0,22462.0,15692.0,19312.0,13262.0,16923.0,16903.0,5000.0,10000.0,5000.0,7000.0,5000.0,10000.0,0.0
8490,8491,10000.0,1,3,2,21,0.0,0.0,2.0,0.0,0.0,0.0,4797.0,6457.0,6154.0,6154.0,6280.0,0.0,2400.0,0.0,0.0,126.0,0.0,0.0,0.0
3453,3454,50000.0,1,2,1,34,0.0,0.0,-1.0,0.0,-1.0,-1.0,2522.0,0.0,2522.0,1261.0,1261.0,1428.0,0.0,2522.0,0.0,1261.0,1428.0,1261.0,0.0
20710,20711,560000.0,1,2,1,49,0.0,0.0,2.0,2.0,-1.0,-1.0,13432.0,12762.0,7077.0,3416.0,,,,,,,,,
9442,9443,80000.0,2,1,2,25,0.0,0.0,0.0,0.0,0.0,0.0,45392.0,46723.0,41986.0,40060.0,38124.0,37140.0,5000.0,2000.0,2000.0,2000.0,3000.0,2000.0,0.0
2527,2528,390000.0,1,3,1,49,1.0,-2.0,-2.0,-2.0,-2.0,-2.0,0.0,0.0,0.0,0.0,0.0,5112.0,0.0,0.0,0.0,0.0,5112.0,0.0,0.0
13489,13490,30000.0,2,2,2,22,0.0,0.0,0.0,0.0,0.0,0.0,29668.0,29744.0,29068.0,29567.0,29144.0,29541.0,1555.0,2165.0,3002.0,1005.0,3000.0,2000.0,0.0
697,698,90000.0,2,2,2,34,-1.0,2.0,2.0,-2.0,-2.0,-2.0,8792.0,7500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16186,16187,260000.0,2,1,2,31,-1.0,-1.0,-2.0,-2.0,-2.0,-2.0,16083.0,759.0,-484.0,-484.0,3872.0,2.0,759.0,0.0,0.0,4356.0,0.0,3200.0,0.0
17175,17176,180000.0,2,1,2,29,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,9418.0,-897.0,2331.0,3596.0,3125.0,2702.0,0.0,5028.0,6411.0,3155.0,2702.0,10909.0,0.0
13443,13444,50000.0,2,3,2,35,0.0,0.0,0.0,0.0,0.0,0.0,9999.0,11020.0,12027.0,12109.0,12360.0,12602.0,1489.0,1496.0,578.0,594.0,596.0,613.0,0.0
8081,8082,200000.0,1,2,2,27,-1.0,0.0,0.0,-2.0,-2.0,-2.0,131791.0,17666.0,0.0,0.0,0.0,0.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0
10632,10633,50000.0,1,1,2,26,-1.0,2.0,2.0,-1.0,0.0,-1.0,5713.0,5406.0,-978.0,978.0,652.0,626.0,0.0,0.0,1956.0,0.0,626.0,0.0,1.0
23078,23079,180000.0,2,5,1,41,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,22777.0,20311.0,20726.0,22111.0,25560.0,2461.0,20328.0,20789.0,22169.0,25560.0,2461.0,10947.0,0.0
16510,16511,40000.0,1,1,2,24,0.0,0.0,0.0,0.0,0.0,-1.0,37412.0,38485.0,39575.0,39247.0,9687.0,33625.0,2000.0,20000.0,1359.0,600.0,33625.0,615.0,0.0
2660,2661,200000.0,1,1,2,29,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,4810.0,0.0,726.0,726.0,495.0,1402.0,0.0,726.0,0.0,495.0,1562.0,1420.0,1.0
2854,2855,50000.0,2,2,2,25,2.0,2.0,2.0,2.0,2.0,2.0,15679.0,16228.0,17796.0,17213.0,18432.0,18981.0,1100.0,2150.0,0.0,1500.0,1000.0,0.0,1.0
296,297,120000.0,2,2,1,29,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1686.0,657.0,2179.0,1423.0,0.0,1820.0,657.0,2319.0,1423.0,0.0,1820.0,2496.0,0.0
29400,29401,200000.0,1,1,2,28,-1.0,-1.0,2.0,-1.0,-1.0,-1.0,5765.0,12386.0,2662.0,6023.0,8303.0,171059.0,12453.0,12.0,6053.0,8337.0,171074.0,5036.0,0.0
28399,28400,320000.0,2,1,2,41,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,2197.0,1376.0,3342.0,11970.0,9700.0,38473.0,1376.0,3343.0,11973.0,9700.0,38473.0,29757.0,0.0
10385,10386,450000.0,1,1,1,54,-1.0,-1.0,-1.0,-1.0,-2.0,-2.0,727.0,0.0,419.0,0.0,0.0,0.0,0.0,419.0,0.0,0.0,0.0,6154.0,0.0
28955,28956,380000.0,2,1,2,33,0.0,0.0,0.0,0.0,0.0,0.0,89842.0,88898.0,63203.0,44889.0,44276.0,31799.0,8000.0,8009.0,7000.0,6000.0,10500.0,8500.0,0.0
18240,18241,10000.0,1,3,2,51,0.0,0.0,0.0,2.0,0.0,0.0,7282.0,8311.0,10398.0,10000.0,10000.0,0.0,1311.0,2398.0,0.0,0.0,0.0,0.0,0.0
14530,14531,30000.0,1,2,3,44,0.0,0.0,0.0,0.0,0.0,0.0,6289.0,9331.0,12380.0,15158.0,15760.0,18985.0,3173.0,3222.0,3000.0,1000.0,3500.0,2000.0,1.0
29072,29073,160000.0,2,5,2,52,0.0,0.0,0.0,0.0,0.0,0.0,157018.0,135516.0,117895.0,86943.0,23433.0,20000.0,5000.0,5000.0,2200.0,500.0,1000.0,0.0,0.0
5078,5079,50000.0,2,2,3,48,2.0,0.0,0.0,0.0,0.0,0.0,18460.0,20942.0,18942.0,18811.0,18183.0,18561.0,2813.0,1289.0,658.0,659.0,679.0,654.0,1.0
3695,3696,50000.0,2,2,1,44,0.0,0.0,2.0,0.0,0.0,0.0,43596.0,46320.0,43976.0,44287.0,38113.0,30778.0,5000.0,0.0,2500.0,1500.0,2000.0,1000.0,0.0
21358,21359,160000.0,1,2,1,55,0.0,0.0,0.0,0.0,0.0,0.0,155389.0,152162.0,154715.0,155026.0,79051.0,81089.0,6911.0,6500.0,4270.0,2518.0,2994.0,0.0,0.0
7727,7728,200000.0,2,1,1,49,-1.0,-1.0,-2.0,-2.0,-2.0,-2.0,4739.0,-61.0,-61.0,-61.0,-61.0,-61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13538,13539,50000.0,2,1,2,22,0.0,0.0,0.0,0.0,0.0,0.0,49086.0,48614.0,44211.0,27415.0,26630.0,8551.0,2047.0,1539.0,633.0,634.0,433.0,25586.0,0.0
244,245,30000.0,2,1,2,40,-1.0,-1.0,2.0,2.0,2.0,2.0,142.0,215.0,139.0,19.0,19.0,79.0,355.0,120.0,0.0,0.0,60.0,60.0,0.0
19637,19638,50000.0,2,3,1,49,2.0,0.0,0.0,0.0,-2.0,-2.0,48297.0,50487.0,51400.0,0.0,0.0,0.0,3000.0,2400.0,0.0,0.0,0.0,0.0,1.0
21287,21288,350000.0,1,2,1,50,0.0,0.0,0.0,0.0,0.0,0.0,83134.0,84087.0,86492.0,91898.0,189555.0,192627.0,3969.0,4131.0,7261.0,103801.0,6007.0,6008.0,0.0
5581,5582,250000.0,1,1,1,41,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,9146.0,10906.0,4614.0,28790.0,4418.0,10676.0,10957.0,4614.0,28796.0,4418.0,10676.0,0.0,0.0
8296,8297,10000.0,1,2,1,36,0.0,0.0,0.0,0.0,0.0,0.0,8593.0,9582.0,8986.0,9691.0,9889.0,10131.0,1300.0,1200.0,1000.0,1000.0,569.0,200.0,0.0
5542,5543,280000.0,1,2,2,30,2.0,2.0,2.0,2.0,2.0,0.0,110550.0,113877.0,115223.0,116930.0,112607.0,95949.0,6600.0,4700.0,5100.0,0.0,4200.0,3000.0,0.0
28160,28161,260000.0,2,1,2,29,0.0,0.0,-1.0,0.0,0.0,0.0,78341.0,44155.0,27779.0,27738.0,27923.0,28143.0,10000.0,30150.0,2000.0,3000.0,2000.0,2000.0,0.0
3527,3528,20000.0,2,2,1,50,1.0,2.0,2.0,2.0,3.0,2.0,7973.0,9686.0,9382.0,10821.0,10361.0,10046.0,2000.0,0.0,1600.0,0.0,0.0,1500.0,0.0
8679,8680,20000.0,1,3,2,24,0.0,0.0,0.0,0.0,0.0,0.0,9249.0,10439.0,11448.0,11561.0,12221.0,12865.0,1500.0,1487.0,600.0,1000.0,1000.0,1000.0,1.0
3219,3220,100000.0,2,1,2,29,0.0,0.0,0.0,0.0,0.0,0.0,33330.0,36282.0,38673.0,43014.0,48300.0,57497.0,3500.0,3000.0,5000.0,6000.0,10000.0,0.0,0.0
21635,21636,80000.0,2,2,2,23,1.0,2.0,2.0,2.0,2.0,2.0,21775.0,21127.0,23772.0,23092.0,24806.0,24272.0,0.0,3000.0,0.0,2100.0,0.0,1500.0,1.0
11219,11220,150000.0,2,1,1,42,-1.0,2.0,2.0,-1.0,0.0,-1.0,496.0,1188.0,940.0,965.0,965.0,726.0,940.0,0.0,965.0,0.0,726.0,0.0,0.0
15473,15474,360000.0,1,1,1,39,0.0,0.0,-2.0,-2.0,-2.0,-2.0,12768.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26061,26062,240000.0,2,1,2,29,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,28438.0,29923.0,7655.0,23918.0,265852.0,2225.0,29923.0,7655.0,23925.0,265852.0,2225.0,13478.0,0.0
23334,23335,500000.0,2,1,1,36,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,8561.0,682.0,15714.0,5390.0,43386.0,0.0,1364.0,15714.0,5390.0,43386.0,0.0,0.0,1.0
28675,28676,100000.0,2,1,2,28,2.0,0.0,0.0,0.0,0.0,0.0,4523.0,7267.0,9967.0,19706.0,20378.0,22038.0,3000.0,3000.0,10000.0,1000.0,2000.0,4000.0,1.0
1274,1275,150000.0,1,2,1,34,0.0,0.0,0.0,0.0,0.0,0.0,132214.0,135140.0,135263.0,137540.0,144786.0,146379.0,4414.0,4700.0,4306.0,10006.0,4822.0,4112.0,0.0
11589,11590,30000.0,1,2,2,26,1.0,2.0,2.0,2.0,2.0,2.0,17989.0,17417.0,19807.0,20186.0,19725.0,22225.0,0.0,3000.0,1000.0,0.0,3000.0,0.0,1.0
5615,5616,500000.0,2,2,2,33,-2.0,-2.0,-2.0,-1.0,0.0,0.0,13284.0,17262.0,81198.0,40049.0,54258.0,59569.0,17311.0,81938.0,40060.0,30000.0,20000.0,10000.0,0.0
26937,26938,200000.0,1,2,1,35,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,8028.0,3729.0,-19.0,3920.0,4452.0,685.0,3747.0,0.0,3939.0,4470.0,3.0,1064.0,0.0
22618,22619,80000.0,2,1,2,36,2.0,0.0,0.0,2.0,0.0,0.0,12639.0,13419.0,18171.0,17582.0,19281.0,19968.0,1300.0,5000.0,0.0,2000.0,1000.0,10000.0,1.0
13951,13952,130000.0,2,3,1,34,1.0,2.0,2.0,2.0,2.0,0.0,126701.0,129388.0,130768.0,131858.0,125874.0,127988.0,6200.0,5000.0,4732.0,0.0,5000.0,5000.0,1.0
